index,category,difficulty,model,video_index,video_prompt
,imaginary,ssma_ss,,1,"Setting: A shimmering crystal cavern illuminated by glowing emerald stalactites and a softly flowing silver stream.
Character: A translucent fairy with opalescent wings, dressed in flowing garments of spider-silk that shimmer faintly with stardust, emitting a gentle hum with each movement.
Prompt: The fairy scoops shimmering water from the stream into her hands, causing it to crystallize instantly into a sparkling orb; she then breathes softly onto the orb, making it levitate briefly before gently tapping it, after which it bursts into glowing butterflies that scatter into the cavern."
,imaginary,ssma_ss,,2,"Setting: A floating library suspended among clouds, shelves brimming with glowing ancient books, drifting gently in an endless twilight sky.
Character: A wise owl wizard with plumage of deep violet, spectacles perched on its golden beak, wearing a velvet cloak embroidered with mystical runes.
Prompt: The owl wizard selects a glowing tome from a shelf with its wingtip, then swiftly opens it, causing golden runes to rise in mid-air; subsequently, it waves its wing through the runes, rearranging them into a luminous constellation that floats gently upwards."
,imaginary,ssma_ss,,3,"Setting: A dense, enchanted jungle filled with oversized glowing fungi, plants that whisper softly, and tiny, flickering orbs of ethereal light floating through the air.
Character: A curious, bipedal chameleon with shimmering scales that shift color constantly, large amber eyes, and a tail shaped like a spiral, wearing a leaf-woven pouch filled with magical herbs.
Prompt: The chameleon plucks a glowing mushroom from a tree, which immediately causes its scales to match the mushroom's hue; it then carefully crushes the mushroom in its palm, forming a luminous paste, and subsequently blows gently on the paste, dispersing it as shimmering dust into the air."
,imaginary,ssma_ss,,4,"Setting: A crystalline cave illuminated by softly glowing gemstones that reflect dancing colors upon glassy walls.
Character: An ethereal phoenix composed entirely of shimmering golden flames, its wings trailing delicate embers and eyes glowing with inner fire.
Prompt: The phoenix gracefully extends its wings, intensifying its fiery glow, then rapidly spirals upwards into the air, forming a swirling column of fire, subsequently dissolving into golden sparks that rain down and coalesce into an intricate symbol upon the cavern floor."
,imaginary,ssma_ss,,5,"Setting: A floating island amid clouds, covered in lush grass and ancient stone arches decorated with runic symbols gently pulsing with turquoise light.
Character: A tall, silvery unicorn with a spiraled crystal horn, flowing mane of liquid silver, and hoofprints that briefly glow as it moves.
Prompt: The unicorn lowers its head to gently touch its glowing horn to a rune-covered stone, causing the runes to brightly ignite, then the unicorn lifts its head, stepping back as the stone slowly rises and splits open, subsequently revealing a hidden portal shimmering with radiant light."
,imaginary,ssma_ss,,6,"Setting: A floating celestial island suspended amid swirling lavender and turquoise clouds beneath a twilight sky dotted with star-shaped lanterns.
Character: A playful griffin cub with soft golden feathers, tufted ears, oversized emerald eyes, and small leathery wings tipped with sparkling silver feathers.
Prompt: The griffin cub energetically pounces onto a glowing cloud, causing ripples of shimmering particles to scatter, then bats playfully at the drifting particles with its paw, subsequently creating a miniature constellation that briefly shines above its head."
,imaginary,ssma_ss,,7,"Setting: A crystal cavern illuminated by pulsating gemstones and glowing moss, creating shifting patterns of iridescent reflections on the walls.
Character: A slender crystalline fairy with glass-like wings, shimmering silver-blue skin, and delicate limbs ending in glowing fingertips.
Prompt: The fairy gently taps a sapphire gemstone causing it to hum softly and radiate brighter blue light, then gracefully gathers the emitted glow into a luminous orb between her hands, subsequently releasing it upward to illuminate an intricate hidden carving on the cavern ceiling."
,imaginary,ssma_ss,,8,"Setting: A serene glacial valley, moonlit, dotted with reflective ice formations and gentle snow flurries spiraling in a slow dance.
Character: An imposing guardian creature carved entirely from clear enchanted ice, sapphire-like glowing eyes, intricate frost patterns on its transparent body, and limbs smoothly articulated by glowing silver joints.
Prompt: The guardian strikes the ground with a fist, causing luminous cracks to swiftly spread across the ice surface, then gathers the emerging frost energy into its palms, subsequently shaping the frost energy into a protective dome of crystalline ice shielding a delicate flower sprouting beneath the surface."
,imaginary,ssma_ss,,9,"Setting: Inside a volcanic cavern illuminated by flowing magma streams and filled with mystical blacksmith tools suspended magically above anvils.
Character: A fiery djinn with molten-lava skin interlaced by golden fissures, eyes glowing white-hot, and constantly flickering flame-shaped hair.
Prompt: The djinn forms a fiery orb between its palms, causing intense heat to illuminate the cavern, then sharply compresses the orb into a molten blade shape, subsequently plunging it into an icy basin, instantly solidifying into a steaming, intricately patterned sword."
,imaginary,ssma_ss,,10,"Setting: An intricate magical library with towering shelves filled with ancient books, softly illuminated by floating candles and spinning gears embedded into the walls.
Character: A humanoid clockwork golem crafted from polished brass and copper, gears visibly turning within transparent crystal chest cavities, and eyes resembling glowing amber lenses.
Prompt: The golem pulls a lever causing its internal gears to accelerate visibly, then precisely unfolds its mechanical fingers to project beams of golden light that rearrange scattered floating books into orderly stacks, subsequently opening the topmost book to reveal illuminated pages."
